PM10,PM2.5,SO2,O3
32.61,10.02,3.33,4.83
23.87,8.78,3.36,4.88
21.42,8.04,3.60,6.46
25.12,13.21,4.28,7.50
25.59,10.32,4.92,11.15
26.42,11.25,5.04,12.63
30.11,9.13,4.96,14.36
31.83,16.64,5.09,16.40
39.30,,5.19,18.23
31.50,,5.37,19.51
24.83,2.11,4.85,18.73
30.68,6.75,5.48,15.98
30.42,5.41,4.78,12.05
27.53,2.99,4.55,8.14
32.17,10.30,4.62,6.29
38.69,20.67,4.60,
56.55,22.46,5.09,2.28
51.40,23.38,4.03,4.24
48.24,24.44,3.65,5.19
41.83,19.93,3.36,5.82
43.23,,3.30,6.14
31.49,,3.16,6.15
31.21,,3.21,5.98
23.42,1.11,3.12,7.47
17.84,4.76,2.92,7.46
15.97,11.68,3.24,7.06
24.24,9.80,3.91,7.72
23.91,9.92,4.41,8.48
25.96,10.24,5.48,12.58
28.81,7.89,5.68,14.13
30.15,8.54,5.77,12.94
27.55,10.14,5.87,15.34
36.04,7.65,5.72,16.35
34.39,6.02,5.64,18.64
35.43,7.24,6.37,14.94
37.02,8.10,9.01,13.80
35.44,11.09,7.56,10.21
52.00,10.38,13.05,8.42
56.71,16.81,13.46,7.63
59.33,22.52,5.90,6.52
60.07,27.17,5.07,4.06
58.38,23.41,4.65,6.08
53.69,27.70,4.05,5.30
44.90,20.67,3.97,5.86
40.70,15.40,3.86,5.75
44.76,11.49,3.61,5.74
40.63,8.84,3.49,5.16
36.43,7.27,3.51,4.99
35.64,8.10,3.53,5.07
35.57,18.76,3.64,4.54
36.94,16.80,4.25,4.99
43.73,18.12,5.16,7.08
37.66,13.99,6.38,11.51
42.12,13.21,6.37,13.37
37.26,13.62,6.58,14.58
38.89,10.66,6.41,17.62
50.83,8.20,6.62,19.56
52.64,6.67,7.34,19.37
53.74,11.41,6.47,18.09
55.27,13.63,8.89,15.11
51.53,13.67,7.16,10.38
52.51,11.65,8.06,6.65
55.80,14.38,12.61,2.69
68.34,22.15,9.19,
73.89,33.08,6.86,5.00
79.07,30.88,6.14,3.40
74.47,36.64,5.11,7.02
70.41,30.63,4.30,8.00
65.84,22.65,4.16,8.37
63.30,16.04,3.97,8.79
51.30,11.53,3.80,9.15
49.71,13.56,3.74,8.61
43.61,11.77,3.56,9.02
37.44,9.10,3.89,8.78
44.67,22.79,4.24,10.02
42.87,23.14,5.31,11.85
47.86,24.02,6.39,13.99
48.05,18.21,7.77,14.77
54.46,17.26,7.06,18.81
52.64,21.65,6.69,22.55
64.40,16.61,5.78,20.73
58.62,11.80,4.96,18.71
53.25,10.51,5.07,17.72
56.56,13.13,4.71,15.45
47.78,9.70,4.57,12.74
50.46,22.19,3.92,11.97
54.23,18.35,3.75,12.48
44.56,14.29,3.60,12.11
41.95,13.60,3.64,12.18
43.60,18.56,3.58,11.61
41.66,14.71,3.73,8.14
41.93,16.36,3.58,7.44
35.83,12.61,3.35,7.48
36.95,9.22,3.39,6.94
26.88,7.15,3.33,7.35
36.14,5.49,3.23,6.59
28.97,4.39,3.28,6.39
31.10,5.19,3.31,6.87
36.53,13.49,3.88,6.93
37.77,16.25,5.28,11.63
37.81,18.23,5.84,13.18
38.07,18.40,5.85,16.44
43.91,15.62,5.71,18.70
47.12,12.89,5.57,19.51
55.40,9.82,5.11,18.34
54.09,7.89,4.77,15.80
52.23,5.88,4.55,14.52
49.70,16.63,4.33,14.17
44.65,13.57,3.93,13.83
47.87,9.66,4.10,12.50
46.26,11.88,3.98,12.68
49.95,16.12,3.69,12.41
48.59,18.94,3.71,11.67
43.96,22.48,3.65,10.98
47.75,18.38,3.85,11.52
50.45,20.16,3.61,12.12
52.51,15.08,3.68,12.58
48.76,11.61,3.65,11.39
44.12,9.21,3.73,8.62
46.95,6.58,3.44,6.41
44.36,9.40,3.57,7.06
54.65,10.34,3.34,6.88
60.66,13.71,3.33,10.04
58.66,14.89,3.57,8.63
56.05,17.55,4.09,12.80
50.07,16.36,4.42,15.94
47.85,19.15,4.44,16.57
51.31,19.03,4.43,16.78
53.06,13.98,4.22,15.70
51.84,10.33,4.12,14.80
52.40,8.01,3.98,14.62
45.87,6.18,4.04,15.15
43.78,5.37,3.95,14.56
44.18,6.50,3.55,13.61
52.59,10.02,3.63,13.45
42.42,7.60,3.42,13.01
43.58,7.32,4.96,11.99
32.22,5.71,4.72,9.83
35.29,14.39,3.82,10.37
36.12,11.77,3.57,8.79
36.59,,3.63,7.58
28.23,2.01,3.40,6.79
37.16,1.85,3.31,6.62
33.34,1.98,3.39,6.17
29.47,3.30,3.29,5.57
30.37,4.30,3.44,5.29
30.66,7.16,3.46,7.18
30.24,7.33,4.21,11.46
24.96,7.55,4.51,15.38
21.55,5.47,4.42,17.20
17.76,4.38,4.21,19.56
14.90,5.69,4.27,19.83
16.75,4.97,4.29,20.78
25.91,4.21,5.15,19.91
33.22,4.04,4.79,17.07
33.30,3.97,5.02,15.93
36.59,3.27,4.26,14.90
36.77,6.80,3.75,14.56
48.42,7.44,3.48,12.63
44.03,7.02,3.44,13.21
41.07,5.43,3.43,13.43
38.55,8.00,3.29,12.32
42.82,15.51,3.32,12.25
34.63,12.56,3.35,13.50
28.61,9.76,3.37,13.88
26.89,7.46,3.38,9.78
28.45,5.67,3.29,9.01
23.86,5.06,3.24,9.50
27.01,4.64,3.16,9.02
23.30,4.06,3.22,7.78
22.79,3.45,2.91,9.66
20.35,3.39,3.34,12.20
22.74,3.04,3.54,14.11
26.77,4.02,3.81,15.34
27.42,3.91,3.73,18.55
20.11,3.70,3.87,19.26
19.16,3.72,4.06,19.45
23.42,3.68,3.76,16.97
24.11,3.52,3.85,14.89
27.26,3.36,3.49,14.19
4.47,0.53,3.47,15.36
28.54,0.67,3.67,14.86
29.64,1.10,3.14,13.74
26.27,1.07,3.30,12.83
28.54,1.45,3.34,11.98
22.52,1.38,3.20,13.26
17.54,1.25,3.08,12.52
16.77,1.23,2.93,11.32
19.38,1.52,3.07,12.96
15.50,1.54,2.95,13.26
11.04,1.59,2.93,12.55
10.54,1.73,3.07,11.63
11.41,1.85,2.92,14.07
14.37,1.99,2.80,13.98
14.41,2.03,2.89,12.39
11.97,2.07,3.00,11.84
15.74,,3.53,14.60
14.06,,3.78,17.29
10.15,,3.68,18.62
9.00,0.53,3.71,19.05
10.25,0.52,3.65,18.71
8.65,0.88,4.04,16.58
8.91,1.28,3.53,14.67
10.72,1.27,3.42,14.45
10.88,1.19,3.12,11.47
12.46,1.34,3.23,13.19
14.76,1.32,3.21,12.80
12.13,1.31,3.14,13.31
12.73,1.36,3.13,14.32
10.02,1.42,3.13,14.03
7.55,1.43,2.89,14.19
8.62,1.46,3.08,13.49
10.04,1.49,3.00,14.42
8.01,1.47,2.97,13.29
5.19,1.02,2.98,11.27
2.27,1.16,3.13,10.87
6.63,3.55,3.30,10.36
5.59,3.36,3.18,11.18
4.78,3.04,3.40,12.42
4.62,2.99,3.60,13.11
5.26,3.24,3.67,14.82
7.85,2.80,3.56,16.18
9.87,2.62,3.45,16.06
12.30,2.51,3.20,16.54
8.99,2.59,3.43,15.24
6.85,2.57,3.58,14.44
5.39,2.48,3.41,14.36
4.17,,3.35,14.82
3.92,,3.59,12.91
6.74,,3.76,11.27
10.68,,3.81,8.32
10.23,4.96,3.67,3.71
16.74,4.44,3.63,4.61
24.31,5.68,3.73,7.08
25.24,8.59,3.53,7.30
20.00,7.07,3.59,10.43
14.37,5.58,3.51,12.80
10.40,4.07,3.45,14.16
7.96,3.34,3.45,15.15
6.12,,3.43,15.28
4.97,,3.33,13.77
3.88,2.57,3.45,13.62
3.36,3.19,3.04,13.79
3.50,2.97,3.20,14.20
3.85,2.75,3.30,18.25
7.32,2.58,3.32,18.75
13.92,2.66,3.35,18.11
11.41,2.69,3.57,18.29
11.22,2.62,3.35,17.83
7.93,2.43,3.25,17.23
5.95,2.46,3.29,16.63
8.31,2.46,3.19,15.25
13.16,2.48,3.15,15.32
9.24,2.55,3.19,13.41
8.98,,3.18,12.75
15.18,,3.07,5.82
20.50,1.53,2.97,3.51
22.74,1.71,3.10,3.88
27.62,1.80,3.14,5.98
26.33,2.00,3.02,5.89
20.62,2.62,2.98,6.92
18.67,4.42,2.93,5.78
16.16,4.40,2.94,6.56
17.52,3.56,3.01,6.48
14.49,4.11,3.05,5.79
14.54,3.95,3.13,7.07
16.22,3.72,3.35,10.67
16.00,3.51,3.75,14.14
14.31,3.01,4.06,15.29
14.69,2.42,6.17,16.33
16.83,2.11,7.97,17.52
17.87,1.96,7.09,19.41
18.58,1.85,5.68,19.13
13.88,1.95,4.91,18.98
12.65,2.09,4.57,18.21
14.89,2.00,4.26,17.14
15.91,2.05,3.95,16.32
12.97,2.00,3.79,15.44
10.49,1.96,3.75,15.49
13.95,1.99,3.55,13.66
14.39,2.01,3.72,14.04
13.45,2.03,4.14,11.34
18.67,2.06,3.43,9.30
19.07,2.04,3.34,7.79
16.15,2.01,2.96,7.68
16.97,1.96,3.04,7.27
17.15,1.93,2.98,7.37
20.69,1.93,3.13,8.19
25.93,2.03,2.89,9.45
26.76,2.05,2.87,11.18
25.86,2.04,2.95,12.52
22.23,2.00,3.17,13.54
20.15,1.96,3.74,15.51
18.12,1.97,3.87,17.64
20.87,1.96,4.73,20.06
21.38,1.96,5.39,21.27
21.76,1.98,4.61,21.10
19.27,2.04,4.63,20.57
18.94,2.10,6.18,19.37
23.94,2.21,5.79,17.71
27.50,2.30,4.01,15.32
26.87,2.51,3.36,14.00
26.77,2.53,4.24,11.70
25.23,2.46,4.30,11.12
26.75,0.89,5.73,10.75
33.33,0.97,5.41,9.75
34.29,1.25,4.83,10.89
28.18,1.24,3.80,9.93
26.36,1.33,3.44,7.79
20.53,1.44,3.19,6.06
19.25,,3.12,5.39
25.57,,3.23,5.34
25.91,,3.24,5.28
24.74,,3.17,5.53
28.39,,3.75,9.36
33.23,,4.29,12.20
31.16,9.17,4.58,12.31
36.68,16.67,5.81,13.08
41.68,15.12,6.70,18.18
38.93,11.68,6.07,18.38
37.55,8.73,6.69,18.80
36.29,6.29,4.74,18.73
28.94,5.04,4.11,17.96
23.46,10.80,4.73,17.44
26.84,10.27,6.45,15.97
31.18,7.19,4.47,13.82
28.16,5.29,3.83,13.73
27.76,,3.51,13.12
27.70,,3.51,11.52
20.73,2.75,3.64,11.18
19.82,2.30,3.55,11.10
26.11,,3.53,10.73
23.78,,3.44,11.85
23.72,,3.55,11.46
23.36,,3.59,10.28
21.13,5.03,3.46,7.85
22.52,5.69,3.28,8.20
18.77,,3.49,9.70
16.96,,3.73,10.97
18.32,,4.59,13.15
15.33,1.96,4.67,15.79
12.66,2.36,4.45,18.29
14.60,2.60,4.25,20.18
14.45,2.70,4.13,20.39
12.10,2.58,3.97,21.36
14.12,2.73,4.14,20.65
19.05,2.76,4.29,17.66
20.65,2.48,4.64,14.26
21.66,2.43,5.05,14.62
21.05,2.59,8.45,13.55
25.99,2.57,9.82,11.33
28.66,2.40,7.65,9.72
30.33,2.29,4.99,8.73
31.21,2.24,4.09,10.95
32.66,2.27,3.78,9.98
31.97,2.26,3.64,8.61
24.54,2.23,3.43,9.04
21.07,2.21,3.33,9.10
22.45,2.22,3.35,11.70
18.13,,3.61,13.15
16.74,,3.24,9.75
15.53,0.39,3.76,9.77
19.13,0.57,4.32,10.48
22.48,,3.85,16.53
17.26,,3.84,20.04
17.36,,3.77,22.31
22.01,,3.82,23.67
15.79,,3.75,24.24
12.17,1.04,3.57,24.28
11.62,12.23,3.56,24.50
12.78,9.14,4.75,21.52
18.01,7.03,4.13,20.55
21.91,5.51,6.31,17.87
21.42,3.86,7.63,13.16
25.91,2.83,7.34,10.65
33.98,2.62,6.21,10.22
38.35,2.48,4.31,10.11
44.20,2.42,3.79,9.71
43.97,4.46,3.62,10.85
37.15,4.80,3.33,8.46
32.52,5.27,3.21,9.42
32.72,4.72,3.26,9.12
27.56,4.60,3.16,8.71
22.91,4.19,3.04,8.85
18.39,4.01,3.01,9.80
17.62,3.90,3.44,9.49
21.08,3.89,4.17,9.81
28.99,3.83,5.12,14.32
30.39,3.81,5.05,19.99
26.03,3.72,4.68,20.12
26.03,3.63,4.32,21.30
,3.62,4.59,24.34
,3.60,4.12,26.72
16.20,2.22,3.53,26.46
,,,
,,,
1.17,9.72,,24.59
13.88,,4.07,17.91
10.93,,3.77,10.01
19.95,,4.21,3.99
31.64,9.44,3.39,7.98
34.97,8.20,3.09,13.18
27.91,13.55,3.47,13.46
27.68,10.57,3.62,14.12
22.90,8.27,3.78,14.17
24.00,5.96,4.01,14.84
19.85,4.50,3.80,12.78
17.10,4.33,3.99,12.68
15.81,3.71,4.14,14.05
13.01,3.42,4.33,13.28
32.52,11.83,3.51,13.43
30.34,15.53,3.35,17.53
38.40,11.62,2.97,23.13
27.71,16.25,2.44,28.55
28.04,22.40,3.18,29.92
30.35,16.75,3.50,31.97
,,,
,,,
,,,
,,,
,,,
,,,
,,,6.15
17.11,1.73,,8.68
25.74,7.63,4.62,16.24
31.41,18.39,4.32,14.41
31.63,12.71,4.19,16.42
33.40,9.90,4.48,18.47
27.88,8.09,4.82,18.75
22.73,6.61,5.18,20.97
24.49,4.87,5.22,18.79
29.38,4.47,5.23,19.29
21.05,3.51,5.20,18.82
22.36,,5.35,17.68
22.10,,5.49,17.46
28.38,10.45,5.48,21.20
34.48,12.60,5.55,25.01
32.14,15.43,5.59,30.35
,,,
,,,
,,,
,,,
,,,
,,,
5.52,,,21.29
92.49,30.43,2.02,18.60
72.32,9.81,4.24,35.79
180.24,22.06,7.81,19.24
162.71,12.86,8.69,14.37
146.34,6.09,8.47,13.95
132.63,9.70,8.31,14.03
110.08,15.91,7.91,14.69
99.10,17.35,7.95,14.89
95.92,12.33,7.88,15.24
80.34,10.57,7.89,14.58
70.68,10.76,8.03,11.24
70.47,10.63,8.04,11.45
72.35,15.78,7.90,11.36
73.10,20.09,7.99,13.65
70.87,16.76,8.17,15.51
65.03,12.79,8.41,16.40
62.43,11.14,8.59,17.32
57.05,13.17,8.87,18.47
60.01,18.51,8.63,17.84
74.49,18.68,8.50,15.82
89.08,13.56,8.39,15.77
85.26,10.13,8.24,16.03
77.31,10.42,8.17,15.53
74.09,17.37,7.83,15.01
66.78,21.08,7.77,13.99
57.12,16.47,7.83,12.71
54.16,12.11,9.37,12.12
49.16,9.16,10.59,11.24
46.07,6.47,9.36,12.71
43.92,4.97,8.28,13.07
36.24,4.47,7.89,12.03
36.51,,7.81,11.56
32.83,,7.75,10.98
29.67,,7.51,7.98
31.33,,7.52,7.90
28.81,1.00,7.42,6.49
32.99,3.35,7.50,7.07
34.52,6.57,8.00,11.37
35.24,5.35,3.32,14.84
30.40,4.21,3.50,14.90
26.39,3.51,3.78,15.68
23.96,2.94,4.58,16.63
25.34,2.59,3.79,16.66
27.69,,3.64,15.39
32.47,,4.54,15.44
33.11,,4.73,15.30
36.57,,4.34,14.44
33.14,0.89,3.89,14.49
32.12,1.92,3.22,13.39
33.00,1.85,3.27,12.75
30.63,2.00,3.40,13.13
30.27,2.01,3.54,10.00
35.94,1.70,3.66,8.32
35.83,1.65,3.43,8.15
36.03,1.77,3.10,10.01
36.61,1.95,3.01,11.36
37.48,2.03,2.98,9.08
34.77,,3.00,7.75
28.56,,2.97,7.83
25.43,,3.02,7.23
27.49,,3.10,10.56
31.12,,3.47,12.84
32.87,,3.53,13.88
28.48,,4.07,15.82
14.23,,3.89,16.36
1.77,,3.89,17.67
3.21,0.42,3.89,18.10
7.65,2.63,3.66,17.73
11.68,3.73,3.56,17.23
14.98,3.29,3.74,16.54
19.35,2.93,4.55,17.07
22.99,2.43,4.88,16.95
26.72,2.28,4.69,16.18
28.64,2.33,4.94,15.76
27.83,2.35,8.12,14.25
27.45,2.43,6.07,12.08
26.41,2.53,8.34,11.62
24.99,2.51,5.15,14.31
21.01,,3.92,14.76
16.02,,3.79,12.17
15.80,0.74,3.48,10.90
15.79,0.76,3.36,9.80
15.29,1.08,3.20,8.69
22.39,1.37,3.12,7.56
25.66,1.42,3.34,7.47
21.27,1.47,3.89,8.89
20.73,1.53,3.90,11.34
23.05,1.59,3.93,14.07
21.88,1.60,4.31,16.11
23.70,1.61,4.18,19.84
,,4.14,20.43
,,,40.90
69.01,2.08,3.43,21.43
70.45,2.70,3.84,17.34
56.04,2.75,4.07,16.46
41.80,2.39,3.64,15.53
36.37,2.20,2.86,14.49
35.22,2.02,2.90,13.42
35.48,2.20,4.01,12.51
33.94,,4.10,12.84
33.98,,4.75,11.46
27.58,,3.62,10.15
25.20,,3.27,9.34
21.08,,2.91,8.27
23.63,,3.00,8.34
23.45,,2.89,7.96
18.10,,2.83,7.19
15.63,0.23,2.95,7.09
16.18,0.68,2.89,7.01
20.08,0.91,3.31,9.39
25.66,1.82,4.53,13.30
23.44,2.80,4.86,15.08
23.92,2.42,4.68,17.51
22.77,,4.70,18.22
23.82,,4.89,18.76
23.22,,12.05,22.16
39.64,,7.16,22.90
43.59,1.27,5.14,22.71
42.42,3.14,5.67,20.03
41.17,3.38,4.33,15.95
40.20,2.92,4.16,12.27
51.11,2.65,3.63,8.30
56.11,6.96,3.61,4.60
59.03,14.03,3.50,4.48
64.98,17.24,3.51,5.96
68.57,16.52,3.33,9.17
54.71,12.26,3.26,10.25
46.14,9.19,3.14,9.98
43.58,7.03,3.08,10.97
39.89,5.83,2.96,11.12
34.70,7.19,2.97,11.12
35.15,8.47,2.97,10.35
38.54,6.57,3.10,10.17
43.40,5.47,3.40,9.79
54.20,4.52,3.68,12.10
52.43,4.43,3.94,14.81
47.44,7.60,4.00,16.43
56.00,9.79,4.11,17.56
55.53,7.93,4.05,18.22
56.91,6.18,4.19,19.14
67.20,7.05,4.17,19.97
61.81,8.81,4.18,19.40
61.80,10.15,4.21,17.00
57.43,11.64,5.50,10.19
65.17,9.10,4.35,6.62
70.90,8.87,3.72,5.75
72.07,14.14,3.38,9.83
74.14,19.95,3.29,9.83
70.80,19.94,3.15,10.09
70.70,16.68,3.13,10.16
60.70,12.50,2.98,10.77
57.89,13.75,2.90,11.12
56.79,16.43,2.74,11.08
60.39,16.78,2.74,10.75
53.66,16.91,2.56,11.15
53.63,12.76,2.65,10.61
54.06,9.48,2.70,10.01
59.24,7.86,2.82,10.25
70.90,10.49,3.46,12.22
67.95,15.22,3.81,15.05
68.91,18.69,4.35,17.40
70.03,18.15,4.56,19.37
71.87,14.76,4.66,20.46
79.69,17.77,5.11,20.33
96.86,22.58,5.72,19.00
94.07,25.05,4.83,16.34
95.08,31.69,4.33,14.09
101.66,33.34,3.97,10.66
112.57,28.59,3.86,9.52
110.28,29.56,3.61,11.64
104.79,34.08,3.53,10.45
104.99,35.10,3.31,10.39
100.79,35.24,2.88,10.25
97.28,32.60,2.93,10.75
92.32,23.25,2.81,11.88
76.27,19.10,2.65,11.35
70.41,17.76,2.74,12.19
61.53,16.45,2.62,12.74
65.57,18.32,2.63,12.28
64.54,17.81,2.63,11.64
66.50,13.37,2.55,10.58
74.22,14.50,2.96,11.04
85.36,21.48,3.54,10.95
88.74,27.24,4.04,13.41
95.32,31.65,4.33,16.26
91.51,29.58,4.58,17.73
95.27,26.57,5.01,18.20
102.43,29.57,5.59,15.21
106.60,33.54,5.55,15.43
103.23,39.27,5.81,16.81
108.00,38.20,6.44,17.75
104.20,31.56,7.77,16.69
98.42,22.39,4.63,12.26
100.92,21.47,4.11,6.60
113.44,31.63,5.98,6.61
112.58,39.32,5.44,7.07
105.10,39.94,4.51,8.05
101.70,35.82,3.97,8.07
90.38,26.66,3.98,7.51
95.06,25.61,4.03,7.41
95.23,25.54,6.48,6.12
87.96,23.94,4.85,7.03
90.41,29.13,4.63,7.87
90.92,27.20,4.04,7.78
84.88,23.98,4.07,5.66
89.90,24.32,4.28,5.47
88.66,25.85,4.34,7.03
100.05,31.91,5.27,8.47
98.90,32.43,6.01,9.44
109.24,28.87,5.76,14.45
101.39,24.84,7.32,15.55
96.63,23.14,8.25,15.63
98.65,20.16,6.49,16.43
90.46,22.23,5.56,18.34
82.45,25.51,5.49,15.68
85.02,20.42,5.12,13.88
108.51,17.13,4.03,13.67
102.02,14.88,3.50,13.02
91.72,12.29,3.53,12.85
81.63,10.94,3.30,12.15
73.66,10.36,3.32,9.20
67.60,10.30,3.42,10.94
48.01,7.82,3.13,12.22
36.28,,3.19,12.35
42.00,,3.32,11.52
40.85,,3.36,10.98
45.05,5.47,3.13,10.56
44.42,8.52,3.30,9.49
45.85,7.16,3.31,8.66
48.14,5.80,3.59,8.70
50.15,7.23,4.28,9.32
57.56,14.86,8.04,10.66
54.55,20.07,5.72,11.84
51.94,16.05,5.72,13.55
51.29,11.58,6.46,16.21
51.43,9.93,5.64,18.52
62.36,10.50,5.67,18.14
49.72,11.52,5.21,19.08
38.81,10.71,4.96,17.42
39.86,8.01,4.58,17.25
55.84,6.22,4.12,13.84
64.25,5.97,3.71,11.38
70.61,11.32,3.69,12.89
63.07,14.88,3.58,12.72
61.38,12.78,3.33,13.25
53.37,12.03,3.49,13.77
47.24,9.02,3.59,11.88
47.18,6.62,3.56,11.66
49.81,5.08,3.53,10.14
51.31,8.21,3.48,8.80
51.37,11.49,3.47,7.13
46.26,8.73,3.64,7.98
47.71,9.39,3.66,10.32
51.79,10.91,3.70,9.27
63.50,8.60,4.06,8.39
64.93,13.45,4.46,10.36
63.33,22.24,5.14,13.40
55.52,20.84,6.02,17.66
59.56,16.65,9.31,21.16
63.76,15.87,7.33,22.59
70.32,13.67,7.35,26.28
60.53,13.09,7.11,25.53
61.46,17.59,6.28,21.63
65.03,18.31,5.22,18.42
60.01,13.11,4.82,15.00
64.94,13.82,4.13,16.43
61.39,16.89,3.91,16.59
59.63,15.16,4.55,16.63
56.12,15.22,3.89,15.73
48.13,14.10,3.85,15.26
41.92,,4.04,15.92
38.74,,3.95,14.48
37.04,7.72,4.30,12.48
42.66,12.97,4.02,12.03
39.55,12.77,3.97,12.48
37.76,11.69,4.03,13.29
36.30,9.13,4.00,11.63
40.86,8.02,3.63,10.76
48.96,7.39,3.26,13.45
41.23,5.63,3.62,16.27
35.27,3.76,3.63,16.19
35.19,2.46,3.97,19.02
40.46,2.25,4.24,21.94
39.73,2.22,4.14,22.54
58.38,2.14,4.31,19.92
63.33,4.82,3.99,16.84
64.78,9.92,4.01,15.27
69.90,11.25,4.36,11.86
78.78,13.24,4.03,11.41
83.39,19.85,3.38,13.76
83.19,24.89,3.23,15.99
75.97,23.35,3.70,14.30
71.27,24.08,3.56,13.43
63.57,25.65,3.65,13.57
60.46,18.64,3.59,13.40
56.98,17.09,3.49,13.15
55.61,16.80,3.46,12.83
49.27,14.47,3.42,13.34
45.51,18.54,3.30,13.43
43.89,20.32,3.36,12.67
38.59,15.27,3.40,12.07
48.37,12.96,3.43,13.14
49.81,12.92,2.71,11.54
44.45,12.92,2.87,11.14
40.94,12.89,2.99,15.67
37.01,11.41,3.33,16.43
32.89,8.50,3.58,19.32
33.17,6.77,3.61,21.13
42.01,5.60,3.68,20.80
45.16,5.65,3.66,19.54
50.14,9.37,4.05,18.70
48.40,11.46,3.49,17.14
45.61,8.91,3.01,15.52
47.18,6.97,2.60,14.02
48.48,8.30,2.86,13.80
43.94,11.60,3.53,13.42
41.57,12.90,3.25,13.22
36.16,12.53,3.49,13.42
30.40,,3.52,15.83
26.45,,3.43,15.97
20.68,,3.51,15.09
14.81,,3.40,13.28
14.40,,3.49,12.07
11.23,,3.40,10.51
12.78,,3.54,9.79
14.01,0.18,3.68,11.30
13.80,0.56,3.87,13.32
18.11,0.92,4.01,15.65
21.20,1.07,4.29,17.38
21.54,1.10,4.39,16.19
22.55,1.19,4.00,16.75
29.55,1.23,3.80,17.49
36.98,2.33,3.94,17.40
39.14,3.82,3.88,17.48
36.97,5.20,3.63,17.11
36.98,6.13,3.66,16.50
32.01,5.19,3.33,15.33
35.26,4.42,3.40,14.91
37.06,3.91,3.37,15.09
31.85,3.36,3.27,15.19
30.71,2.96,3.12,14.95
38.75,2.76,3.18,14.72
41.01,2.47,3.18,15.80
39.11,2.40,3.20,15.38
35.86,2.33,3.08,15.76
27.17,2.32,3.10,14.61
24.72,2.10,2.97,12.28
21.31,2.13,2.88,11.28
18.11,,3.13,11.51
13.79,,3.30,13.07
19.44,4.03,3.72,15.91
22.89,6.55,3.91,19.06
17.71,5.37,3.98,20.26
13.85,4.09,4.05,20.36
10.53,3.76,3.88,21.12
9.68,3.53,3.73,20.06
20.50,3.04,3.46,16.50
26.10,3.20,3.80,17.34
20.34,3.21,3.71,16.13
22.24,3.10,3.37,15.77
22.10,3.39,3.18,14.28
22.08,3.25,3.13,14.06
24.59,3.11,3.17,14.25
30.42,3.02,3.26,13.12
31.04,2.94,3.10,11.72
32.47,2.86,3.05,12.85
37.41,2.87,3.03,13.76
36.70,2.99,3.19,14.27
30.85,2.93,3.08,11.19
29.52,2.85,2.90,12.36
26.64,2.84,2.97,12.11
22.66,2.85,2.88,12.40
24.51,2.88,3.05,12.89
30.19,2.90,2.96,12.45
38.02,2.87,3.09,14.22
36.58,2.86,3.23,14.61
29.54,2.80,3.12,14.60
51.40,2.75,3.13,15.25
53.62,2.77,3.28,15.73
52.38,2.85,3.33,15.15
59.13,2.81,3.25,15.53
54.59,2.79,3.20,15.03
44.10,2.76,3.06,15.72
42.81,2.78,3.18,16.29
38.93,3.29,3.23,15.53
33.59,3.25,3.20,14.43
32.63,3.27,3.20,14.88
26.29,3.22,3.19,15.22
25.62,3.20,3.28,15.88
32.02,3.13,3.12,16.17
54.12,3.12,2.90,16.29
59.06,3.18,2.83,16.26
61.07,3.16,2.67,16.28
55.55,3.15,2.85,16.15
44.93,3.08,2.74,15.54
37.61,3.06,2.68,14.92
32.45,2.98,2.80,13.87
33.29,2.90,2.89,13.87
34.03,2.88,3.08,14.34
34.22,2.86,3.16,15.86
25.55,2.83,3.47,15.98
27.18,2.77,3.23,17.50
25.99,2.75,3.23,16.64
19.31,2.67,3.03,16.62
17.41,,3.09,16.97
13.35,1.10,2.72,17.82
9.68,1.60,2.66,18.14
7.62,1.95,2.98,17.26
7.31,2.30,2.82,17.63
5.82,1.86,2.46,16.45
10.56,1.66,2.65,16.14
9.40,1.54,3.02,14.73
6.81,1.49,3.20,11.37
5.62,1.35,3.04,10.45
5.71,1.24,3.01,8.90
7.19,1.25,3.01,9.00
9.66,1.23,2.90,9.09
8.71,,3.07,7.76
6.57,,2.95,6.72
6.62,,3.03,6.99
7.72,,3.28,9.26
10.59,1.54,3.63,10.15
12.23,,3.74,12.68
9.61,,3.67,17.00
11.59,0.31,3.87,18.47
9.30,5.41,4.12,19.55
9.95,4.32,4.12,20.62
8.51,3.47,4.13,20.04
11.87,2.65,4.24,19.23
14.98,2.39,4.32,18.73
12.20,2.42,4.04,18.65
8.86,2.65,3.76,18.41
6.53,2.33,3.63,17.22
12.78,2.41,3.41,15.48
15.82,2.11,3.41,15.35
17.49,1.96,3.32,13.28
13.57,1.90,3.31,14.90
12.06,1.89,3.15,13.75
9.39,1.85,3.05,14.07
7.24,1.91,2.95,14.77
11.41,1.93,3.07,9.65
10.01,,3.05,10.62
8.76,0.78,2.91,12.69
6.61,0.82,3.09,11.19
5.21,0.90,3.13,11.92
9.82,0.91,3.49,14.50
13.58,,3.53,16.80
11.02,,3.66,19.39
8.70,,3.97,21.21
11.29,2.60,4.94,22.42
11.64,2.35,4.58,22.07
14.44,2.30,3.99,22.17
13.57,,4.00,22.37
13.99,,3.26,38.43
18.75,12.10,2.55,30.89
18.36,9.88,4.01,21.88
16.28,,4.36,16.62
22.80,,4.89,14.45
24.96,,7.15,14.39
21.29,3.22,6.96,12.63
22.34,2.77,8.31,10.76
29.41,2.64,5.38,12.42
