PM10,PM2.5,SO2,O3
22.15,5.87,10.49,22.59
25.07,4.48,11.44,25.81
27.84,3.37,11.26,31.28
27.06,3.73,12.14,31.77
27.05,4.23,11.32,34.68
24.37,4.96,10.70,36.41
19.61,4.45,9.81,36.16
19.36,4.96,10.77,37.97
18.23,4.40,10.91,37.05
16.06,4.01,12.96,25.20
22.60,6.25,25.72,5.45
53.04,8.87,23.36,10.36
55.70,19.30,14.32,16.38
49.77,14.15,10.60,19.38
37.52,9.96,10.91,20.97
36.93,10.06,10.59,21.79
26.86,8.74,10.50,20.15
24.85,9.74,9.90,22.87
24.26,7.89,8.33,23.41
25.56,7.95,8.43,22.04
18.91,6.28,8.31,21.92
23.18,13.26,7.70,22.44
17.19,12.94,6.97,21.52
19.91,9.91,6.91,24.28
21.34,8.00,8.13,24.36
15.60,6.34,9.13,25.76
15.41,5.28,10.30,29.17
14.95,3.87,10.29,32.50
16.07,3.08,16.42,32.24
16.25,2.59,16.78,32.53
15.16,2.81,15.71,32.21
20.62,2.68,14.91,29.23
21.99,2.84,13.50,26.86
24.40,2.60,12.57,21.97
26.92,2.40,17.56,16.18
38.92,2.24,18.72,15.19
47.28,2.97,15.94,10.96
44.81,11.01,17.72,11.28
40.57,11.47,15.16,11.74
45.07,17.42,12.63,9.60
43.31,14.80,8.85,10.67
37.07,14.21,8.37,10.29
36.29,11.67,8.43,9.32
25.94,8.79,9.14,8.35
22.68,11.29,8.59,6.69
23.47,13.05,7.69,5.31
21.94,11.88,8.56,5.36
20.17,9.31,8.64,6.83
30.17,7.31,11.76,11.59
33.33,14.64,14.84,15.63
34.42,10.91,15.85,21.84
30.84,12.85,16.13,26.65
26.46,10.02,14.27,33.62
29.36,9.60,13.07,30.32
29.86,7.42,11.83,28.41
25.90,9.55,11.29,25.90
25.61,11.62,13.15,24.23
32.80,11.01,12.71,18.87
31.63,14.43,16.72,10.29
38.18,10.12,12.64,12.23
40.91,7.44,9.82,13.65
35.96,6.21,8.66,19.65
34.73,11.72,8.27,20.78
24.96,8.52,8.51,18.99
17.69,6.97,8.12,18.19
13.93,8.46,7.65,16.41
15.29,10.16,7.51,14.92
20.27,7.74,7.62,11.97
14.86,6.50,6.57,12.63
12.27,4.92,7.19,8.98
9.03,5.85,8.16,7.04
11.12,5.18,8.85,5.76
16.37,4.69,9.20,9.50
25.84,4.05,11.86,15.11
29.78,4.74,12.37,22.07
27.20,7.38,11.57,24.79
27.14,8.94,10.49,26.33
23.44,9.59,8.75,27.21
18.69,11.29,7.90,26.50
22.78,8.36,10.05,21.76
29.84,10.25,11.04,20.60
24.71,10.08,13.53,17.81
30.46,8.63,14.84,12.53
48.17,6.90,13.91,9.42
38.49,5.53,18.16,4.57
47.14,13.25,18.32,3.56
59.30,25.35,14.55,4.14
52.73,19.70,11.32,6.58
51.00,18.78,10.48,5.85
42.42,21.68,9.82,10.33
36.28,21.10,10.61,12.93
34.94,18.37,8.77,13.49
33.15,13.60,7.43,13.50
23.14,9.56,7.10,17.74
15.19,7.50,6.57,8.86
15.33,6.48,4.42,12.96
20.20,5.41,4.92,17.06
15.17,4.39,6.19,17.35
24.00,3.37,6.19,18.74
18.28,3.17,6.44,22.24
14.12,4.81,5.29,20.90
22.16,4.00,4.60,18.74
15.64,3.80,,19.88
13.59,3.52,5.10,19.01
15.33,3.75,4.49,16.99
13.17,5.72,5.87,15.45
17.98,6.20,7.07,12.16
20.39,5.34,5.30,14.81
22.76,4.19,5.41,17.62
18.55,3.19,4.24,17.96
16.18,5.80,2.19,18.88
12.19,4.91,2.58,19.60
9.63,3.73,2.27,19.40
8.31,3.73,3.19,18.23
6.53,3.51,4.25,12.82
4.96,,3.68,9.61
3.79,,3.37,10.43
3.13,,3.60,8.73
8.24,,3.91,5.09
17.48,,4.76,5.74
3.18,,5.79,9.31
32.69,1.38,10.22,14.04
33.94,2.02,8.43,23.64
23.95,1.73,8.63,24.06
18.10,1.44,10.26,26.52
13.28,1.32,,33.28
20.93,1.19,4.16,29.17
19.56,1.08,5.57,25.44
21.20,4.58,6.80,24.00
18.14,5.33,7.99,19.92
,,,
43.58,10.86,13.57,11.29
44.69,15.68,2.23,11.43
42.58,13.92,,8.92
45.06,10.82,,7.39
37.76,9.12,4.48,10.60
,,,
19.79,6.10,4.31,13.50
14.29,5.19,4.27,15.75
10.38,4.58,3.86,15.22
10.66,3.63,3.25,10.61
8.69,2.81,3.31,10.91
16.05,2.47,3.51,6.85
15.93,2.29,4.45,8.36
20.37,3.50,5.45,13.02
28.59,3.58,5.78,18.38
27.31,3.36,5.17,22.57
21.55,3.31,4.69,26.55
22.05,3.30,5.02,30.22
21.25,3.22,5.01,30.56
18.25,3.57,5.05,30.14
20.68,3.76,5.55,26.85
21.51,3.91,6.24,24.89
23.46,3.92,7.52,21.58
29.97,4.90,8.19,18.18
35.34,8.69,13.45,12.93
34.71,12.30,13.20,12.97
35.20,11.23,7.17,16.13
31.54,9.03,4.47,16.94
27.49,7.34,3.77,21.36
23.01,5.98,3.36,21.64
17.21,4.61,3.00,22.08
12.38,3.38,2.92,20.43
10.03,2.50,2.96,21.11
7.78,2.49,3.12,21.77
5.58,2.47,3.01,20.17
6.05,2.37,2.82,20.28
6.25,2.20,3.53,19.68
9.56,2.33,4.09,20.78
8.57,,4.69,22.76
10.16,,5.21,26.86
12.53,,4.82,25.10
11.43,,4.44,24.45
12.70,1.92,4.29,25.14
10.71,1.82,3.91,25.12
8.15,1.86,4.48,26.79
12.45,6.63,4.18,16.77
16.05,7.51,4.19,15.24
14.73,8.79,5.10,6.97
32.98,18.16,6.89,8.70
39.70,23.87,5.06,12.01
34.88,19.39,4.38,13.30
29.62,,4.11,10.98
22.67,,3.91,16.72
16.60,1.05,3.76,17.22
17.77,1.38,3.54,18.42
15.15,7.35,3.84,15.95
11.22,8.20,3.85,15.42
8.09,6.33,3.83,14.45
6.16,4.76,3.60,12.34
8.85,4.13,3.75,9.97
11.43,3.73,4.65,12.87
12.02,3.43,5.08,15.82
9.40,2.82,5.29,18.66
8.49,2.52,4.29,23.04
7.73,,4.25,23.85
5.87,,4.22,25.50
7.48,,4.06,26.23
3.46,,3.74,25.63
,,6.42,26.63
0.73,0.50,5.29,26.18
4.03,0.49,7.01,19.83
8.92,0.74,9.43,11.98
15.83,0.99,10.21,9.35
26.76,6.71,12.19,11.85
30.44,15.03,9.23,12.02
29.32,16.52,6.12,11.39
27.85,13.10,5.07,8.21
26.60,10.19,4.29,9.50
22.18,8.29,3.92,8.85
17.49,6.80,4.24,10.57
16.89,5.73,4.06,8.42
18.47,4.97,4.29,10.75
16.15,4.48,4.30,11.82
13.98,3.79,4.11,7.14
16.01,2.96,4.10,7.48
16.79,2.64,4.72,12.33
13.71,2.52,4.53,19.53
13.63,2.23,4.17,23.49
14.44,2.01,4.46,23.52
17.26,1.81,9.35,25.48
18.49,2.84,7.07,27.87
15.47,3.43,4.79,30.08
18.11,3.19,5.41,29.14
18.05,3.05,11.13,26.00
17.08,2.93,15.22,21.34
26.68,3.20,12.64,18.02
35.13,3.49,12.23,13.95
38.40,5.23,18.55,7.59
47.56,9.79,23.79,4.77
54.88,15.77,8.16,9.22
48.70,17.04,5.29,9.43
37.67,16.17,4.87,9.86
31.21,13.80,4.17,8.45
28.10,10.45,3.80,9.00
26.89,8.19,3.59,8.26
27.52,6.45,3.71,8.70
24.07,5.22,3.68,7.86
18.22,4.07,3.71,6.02
19.50,3.09,4.47,7.02
26.29,4.82,5.50,11.72
27.34,5.72,6.27,18.71
22.86,5.95,5.39,26.08
21.35,5.49,4.76,29.68
18.65,5.29,4.46,32.99
14.75,9.56,4.47,30.74
15.50,10.67,4.59,31.64
18.92,7.98,4.30,34.49
22.03,5.92,7.71,34.38
25.01,4.30,11.02,30.38
35.01,9.73,13.90,15.52
45.18,16.91,13.57,11.03
55.41,21.13,7.95,16.96
56.64,22.29,6.14,15.91
47.03,19.62,5.15,13.69
35.28,18.74,4.39,12.85
30.73,16.92,4.04,13.60
27.10,13.89,3.79,13.68
22.26,10.84,3.51,13.46
21.03,8.36,3.63,14.13
22.03,6.60,3.61,14.69
19.16,4.90,3.60,14.98
17.30,3.56,3.59,12.53
18.48,2.87,4.58,11.41
21.81,2.74,5.60,14.45
20.67,2.80,5.96,18.18
20.06,2.79,5.46,22.91
20.36,4.13,5.21,25.74
21.93,4.61,4.86,27.76
21.81,3.96,4.90,29.20
20.55,4.89,4.70,29.41
23.97,5.39,5.40,28.98
23.27,4.99,5.36,24.37
20.87,4.81,6.34,20.15
26.68,4.75,18.89,11.43
61.91,11.18,18.15,11.39
81.36,16.22,10.03,12.17
70.43,18.21,8.42,12.03
58.50,18.03,6.34,11.50
49.73,15.26,5.97,12.12
39.85,13.10,6.19,15.24
33.36,11.13,5.60,12.24
29.56,8.61,6.02,6.35
30.33,6.55,6.03,2.58
37.13,5.27,5.32,3.65
41.17,7.35,4.77,6.62
36.31,8.19,4.38,3.86
35.66,8.23,4.68,2.49
41.19,13.78,5.61,7.77
,,,
,,,
,,,
,,,
27.90,,,25.96
30.79,3.98,,20.01
39.83,3.48,,18.75
42.69,,,19.92
35.51,,,18.99
30.17,,,18.43
30.59,1.38,,16.01
29.77,3.91,,13.60
30.14,5.39,4.74,11.50
30.77,6.07,4.49,8.93
26.99,5.91,4.03,9.32
21.91,5.26,3.92,11.11
18.27,4.73,3.78,10.20
16.68,3.95,3.59,9.22
16.42,3.16,3.58,9.67
14.21,2.41,3.58,8.92
16.36,1.91,3.46,9.70
16.77,1.96,3.45,4.42
12.59,2.02,3.67,3.95
15.47,2.04,3.94,5.76
16.78,1.97,4.26,10.71
20.08,1.89,4.18,12.79
21.05,1.80,4.83,15.34
19.56,2.80,5.93,17.47
16.81,4.09,5.70,20.21
15.93,4.13,4.91,20.25
14.12,3.50,3.94,16.62
10.94,3.12,4.13,17.07
13.56,2.88,3.87,14.40
13.97,2.66,4.04,11.82
20.39,2.92,5.92,6.88
38.39,5.99,5.46,6.66
40.20,10.34,4.47,6.48
29.77,10.53,4.27,6.09
21.90,9.93,3.86,4.49
21.52,8.70,3.66,4.78
19.86,11.20,3.46,6.70
14.84,11.94,3.25,6.11
11.78,9.37,3.29,7.28
9.33,,3.30,8.36
12.39,,3.17,6.90
13.22,,3.46,5.07
11.83,,4.04,6.57
12.60,,4.61,9.47
14.41,0.31,5.44,15.67
12.87,4.03,5.80,19.87
10.97,6.80,6.03,19.70
10.48,5.50,5.34,22.83
11.42,4.64,4.89,24.79
13.71,8.29,5.63,23.33
18.30,6.52,5.01,21.11
17.41,5.29,5.18,19.88
17.53,7.09,6.63,18.69
23.98,9.42,8.09,18.45
,,,
24.39,13.77,11.23,13.20
29.57,12.57,12.33,9.14
33.85,9.00,6.71,10.66
29.97,6.47,4.25,16.44
22.97,4.74,3.69,15.65
18.00,4.22,3.50,15.60
14.97,3.44,3.37,17.02
13.81,3.41,3.38,16.75
11.36,3.29,3.50,16.14
8.36,3.16,3.38,13.11
8.12,2.78,3.72,11.82
7.67,2.33,4.09,11.83
6.17,2.16,4.65,14.29
9.78,1.91,5.37,17.77
10.93,1.96,5.42,21.13
8.28,2.03,5.65,21.60
8.32,1.94,5.35,21.36
7.77,1.93,4.86,22.21
9.09,2.11,4.35,23.12
12.49,2.15,4.28,23.30
11.64,2.14,4.64,20.55
13.90,2.58,5.69,18.70
22.42,4.93,8.87,16.17
32.81,7.45,8.42,12.46
32.64,11.44,6.80,11.93
25.63,8.93,5.07,9.12
23.91,6.76,4.49,9.38
21.02,4.86,4.35,11.58
15.27,3.66,3.99,11.49
12.37,3.04,3.86,11.89
11.92,2.61,3.70,12.93
13.59,2.15,3.99,15.10
14.60,1.85,4.02,15.62
13.27,1.66,3.91,13.93
10.36,1.74,4.08,12.06
10.62,2.04,4.21,10.11
14.08,4.29,4.33,12.25
16.47,4.66,3.81,14.57
18.08,4.14,3.91,16.26
17.68,3.76,3.68,17.15
14.39,3.56,3.37,16.98
13.40,3.40,3.55,17.56
11.63,3.33,3.47,16.12
13.57,3.26,3.22,15.92
15.14,3.23,3.29,16.48
15.48,3.22,3.49,14.86
13.84,3.13,3.61,15.14
9.96,3.06,3.69,14.41
8.13,3.02,4.12,13.54
10.89,3.00,3.97,12.39
11.76,3.01,3.82,9.72
10.27,2.94,3.58,8.02
9.08,2.66,3.58,7.01
7.15,0.57,3.36,6.86
5.68,0.90,3.34,3.40
6.24,2.07,3.31,1.94
8.85,4.38,3.40,1.62
13.61,6.69,3.23,1.86
13.53,5.89,3.15,1.50
13.92,5.69,3.55,1.85
20.52,5.94,7.32,6.39
20.29,7.28,7.18,8.71
23.56,6.08,7.41,13.48
28.87,0.53,6.85,17.96
24.63,1.95,6.34,21.02
21.08,1.84,5.56,20.48
16.00,1.93,4.18,18.35
18.53,1.93,5.18,16.25
19.70,1.99,6.38,17.69
16.28,1.98,5.25,16.70
20.60,2.05,6.29,11.80
29.23,3.38,5.70,7.45
31.45,5.68,4.27,13.12
26.59,5.18,3.62,13.90
21.12,4.69,3.58,14.14
19.08,4.34,3.78,14.46
17.49,3.96,3.75,15.66
14.07,,3.52,14.50
12.85,,3.44,10.08
14.63,,3.46,9.41
14.05,,3.42,8.17
13.81,2.34,3.43,8.30
15.03,2.34,3.21,5.76
13.31,4.13,3.53,5.77
16.75,4.42,4.16,6.10
21.05,6.57,4.43,12.65
18.07,5.40,4.02,19.41
15.07,4.68,4.31,20.38
15.66,3.62,4.83,21.67
16.10,2.78,4.93,24.19
16.03,2.54,4.51,21.33
17.73,3.14,4.27,22.08
16.63,2.89,4.12,19.70
17.29,5.21,4.22,16.79
22.83,5.52,4.86,12.57
25.50,13.48,4.35,10.12
23.20,9.74,3.55,13.91
19.44,9.00,3.21,14.43
17.01,6.55,2.97,13.07
15.63,5.58,3.03,16.18
12.92,,2.90,17.20
11.82,,2.84,18.31
10.50,,3.14,16.86
12.78,,2.97,16.41
12.95,,2.95,16.73
9.32,0.65,2.99,16.14
6.93,1.03,3.05,13.74
8.49,1.38,3.31,13.00
8.49,1.78,3.44,13.98
8.42,1.79,3.48,14.50
5.69,,3.81,15.76
14.18,0.62,3.62,14.69
29.90,2.97,4.66,13.86
22.80,5.07,4.76,16.75
21.80,4.88,4.54,17.42
21.76,4.59,4.73,19.38
17.62,4.52,4.55,17.98
14.83,4.11,5.31,16.89
16.97,3.87,4.72,16.12
16.71,3.61,4.55,16.03
13.16,3.25,4.29,14.39
10.84,3.16,3.78,10.41
8.13,3.18,3.60,10.31
6.91,,3.30,12.55
8.01,,3.58,14.32
9.74,0.43,3.29,15.42
8.83,0.57,3.26,13.79
6.48,0.63,3.35,13.70
4.76,0.83,3.57,9.62
3.68,1.22,3.39,8.05
5.25,1.48,3.59,5.02
7.00,1.66,3.95,6.68
6.49,1.71,4.02,13.43
7.75,2.02,3.93,16.88
8.37,2.22,4.50,19.02
,,77.94,41.09
,,,
,35.54,,32.11
29.91,28.28,,12.65
26.15,19.83,1.86,9.64
18.81,13.98,2.92,10.30
25.15,10.65,3.73,8.97
19.16,14.09,3.46,9.51
17.70,13.42,3.52,10.51
13.59,10.95,3.61,10.03
14.49,8.74,3.31,9.95
10.82,6.68,3.11,10.11
11.96,7.36,3.10,10.46
13.21,5.88,3.05,11.71
10.31,5.15,2.92,12.80
8.18,4.08,2.79,11.92
6.10,3.72,3.08,10.28
9.13,3.03,3.00,7.46
8.21,2.83,3.03,5.98
6.01,2.65,3.04,4.83
11.61,2.52,3.73,7.07
13.99,2.64,3.56,11.45
,,,
7.44,2.20,3.74,15.07
10.93,2.12,3.79,15.06
11.35,2.82,3.94,15.50
11.62,2.75,4.46,15.82
15.63,1.03,5.07,16.53
14.34,1.29,5.13,17.00
10.94,1.39,4.22,16.83
10.37,2.03,6.38,14.56
10.63,2.04,7.11,10.43
27.42,2.76,6.32,10.09
26.53,3.00,3.89,6.88
20.51,2.89,4.63,
24.39,3.24,4.97,
31.04,9.25,3.04,4.00
23.16,10.81,3.49,4.95
25.06,7.98,3.42,5.63
19.93,6.01,3.22,6.14
19.02,4.39,3.35,6.26
14.39,4.11,3.24,5.31
10.56,3.20,3.31,5.45
11.91,3.23,3.48,5.74
10.20,2.93,3.55,7.63
15.11,2.78,3.72,9.99
11.55,2.78,4.15,12.23
8.21,2.94,4.06,14.64
7.55,2.81,3.78,16.53
13.96,2.67,3.46,17.19
26.00,2.71,3.75,18.59
19.72,2.58,4.17,19.29
23.39,2.64,4.50,19.48
19.13,2.61,4.88,18.46
18.73,2.59,6.53,15.05
25.04,2.49,8.21,13.66
17.28,3.40,8.52,13.09
29.18,4.02,7.60,10.49
31.56,5.29,7.05,10.01
33.36,7.89,6.20,7.97
32.56,10.04,4.81,6.93
27.41,8.05,3.81,5.85
